         46737219 function calls (46211385 primitive calls) in 631.357 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <attrs generated init a399a8703f2fff692d681e2eda974951c2afaf88>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init b9b268420a0b58f8553085e39bd4957d7a53a5cd>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init b9b268420a0b58f8553085e39bd4957d7a53a5cd>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init d0953f964870ab554a805e987336f5985e203bd6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init e4e07013de18f7483a7b878bce2cd22feb18a4ae>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init eb5d8adbbf5f871aa167444e64e671a577fa02a3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init f10b48ea215e424ff54532495f44e5006311a87c>:1(<module>)
        3    0.000    0.000    0.000    0.000 <attrs generated init f10b48ea215e424ff54532495f44e5006311a87c>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init fb4841184fb26533fbf9786763245f58510a261d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     5721    0.022    0.000    0.025    0.000 <frozen importlib._bootstrap>:103(release)
     3543    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:143(__init__)
     3543    0.008    0.000    0.069    0.000 <frozen importlib._bootstrap>:147(__enter__)
     3543    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap>:151(__exit__)
     5721    0.034    0.000    0.051    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3491    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap>:176(cb)
     2178    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  4287/29    0.005    0.000    9.958    0.343 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    24882    0.017    0.000    0.017    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
     2729    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:307(__init__)
     2729    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:311(__enter__)
     2729    0.014    0.000    0.028    0.000 <frozen importlib._bootstrap>:318(__exit__)
    10866    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2547    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:35(_new_module)
     3469    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:369(__init__)
     5271    0.009    0.000    0.082    0.000 <frozen importlib._bootstrap>:403(cached)
     6137    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(parent)
     2730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
     2730    0.030    0.000    0.142    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
2731/2686    0.013    0.000    0.640    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     3491    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:58(__init__)
    14/13    0.000    0.000    0.024    0.002 <frozen importlib._bootstrap>:622(_load_backward_compatible)
  2744/13    0.025    0.000    9.965    0.767 <frozen importlib._bootstrap>:651(_load_unlocked)
        2    0.000    0.000    0.107    0.053 <frozen importlib._bootstrap>:674(_load)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(module_repr)
     3343    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:707(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
     5721    0.025    0.000    0.027    0.000 <frozen importlib._bootstrap>:78(acquire)
     3338    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:780(find_spec)
    11572    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:843(__enter__)
    11572    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:847(__exit__)
     1559    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
     3341    0.049    0.000    1.375    0.000 <frozen importlib._bootstrap>:870(_find_spec)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:917(_sanity_check)
  3530/28    0.028    0.000    9.977    0.356 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
  3541/28    0.035    0.000    9.978    0.356 <frozen importlib._bootstrap>:966(_find_and_load)
    26/18    0.000    0.000    5.352    0.297 <frozen importlib._bootstrap>:982(_gcd_import)
106124/86884    0.083    0.000    8.433    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      461    0.012    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
     4544    0.009    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
3339/3338    0.022    0.000    1.285    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     3338    0.006    0.000    1.292    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      462    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
     3696    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
      118    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1216(find_loader)
     2726    0.010    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
